date,Typ Pogody?,Najwyższa Temperatura,Najniższa Temperatura,Opady(mm)
2024-04-10,pochmurno,16.6285,8.7285,0.2
2024-04-11,deszcz słaby,16.478498,6.6785,0.1
2024-04-12,deszcz słaby,16.915,10.565,0.6
2024-04-13,pochmurno,17.265001,10.264999,0.0
2024-04-14,pochmurno,12.065,7.032,0.0
2024-04-15,pochmurno,11.382,5.682,0.0
2024-04-16,przelotne opady deszczu: słabe,7.2320004,4.032,2.1000001
2024-04-17,mżawka lekka,7.4685,3.5685,2.6999998
2024-04-18,mżawka lekka,7.5685,3.5685,0.75000006
2024-04-19,opady śniegu: intensywność niewielka,8.468499,3.1685,0.222
2024-04-20,mżawka lekka,10.3185,5.0685,0.45000002
2024-04-21,pochmurno,16.4685,7.0185,0.0
2024-04-22,mżawka lekka,13.8685,7.2685,0.90000004
2024-04-23,pochmurno,10.4185,7.0685,0.0
2024-04-24,mżawka lekka,10.3185,5.5685,0.3
2024-04-25,pochmurno,7.3685,5.1685,
